Address:,USB0::0x2A8D::0x1776::MY58032034::0::INSTR,,Analog Channels,,
Model:,MSO-X 3024T,,Time (s),1 (AMP),
,,,-4.98326480652,0.0677974737773184,
,,,-4.9829548059,0.0674638054333627,
,,,-4.98264480528,0.0704668205289636,
,,,-4.98233480466,0.0687984788091853,
,,,-4.98202480404,0.0708004888729192,
,,,-4.98171480342,0.0704668205289636,
,,,-4.9814048028,0.0697994838410523,
,,,-4.98109480218,0.0704668205289636,
,,,-4.98078480156,0.0687984788091853,
,,,-4.98047480094,0.0677974737773184,
,,,-4.98016480032,0.0671301370894071,
,,,-4.9798547997,0.0677974737773184,
,,,-4.97954479908,0.0664628004014958,
,,,-4.97923479846,0.0674638054333627,
,,,-4.97892479784,0.0674638054333627,
,,,-4.97861479722,0.0671301370894071,
,,,-4.9783047966,0.0674638054333627,
,,,-4.97799479598,0.0664628004014958,
,,,-4.97768479536,0.0667964687454514,
,,,-4.97737479474,0.0667964687454514,
,,,-4.97706479412,0.068131142121274,
,,,-4.9767547935,0.0677974737773184,
,,,-4.97644479288,0.068131142121274,
,,,-4.97613479226,0.0677974737773184,
,,,-4.97582479164,0.0664628004014958,
,,,-4.97551479102,0.0634597853058949,
,,,-4.9752047904,0.0671301370894071,
,,,-4.97489478978,0.0657954637135845,
,,,-4.97458478916,0.0671301370894071,
,,,-4.97427478854,0.0671301370894071,
,,,-4.97396478792,0.0667964687454514,
,,,-4.9736547873,0.0671301370894071,
,,,-4.97334478668,0.0671301370894071,
,,,-4.97303478606,0.0667964687454514,
,,,-4.97272478544,0.0671301370894071,
,,,-4.97241478482,0.0637934536498506,
,,,-4.9721047842,0.0674638054333627,
,,,-4.97179478358,0.0671301370894071,
,,,-4.97148478296,0.0667964687454514,
,,,-4.97117478234,0.0671301370894071,
,,,-4.97086478172,0.0634597853058949,
,,,-4.9705547811,0.0631261169619393,
,,,-4.97024478048,0.0641271219938062,
,,,-4.96993477986,0.0661291320575401,
,,,-4.96962477924,0.0637934536498506,
,,,-4.96931477862,0.0644607903377619,
,,,-4.969004778,0.0674638054333627,
,,,-4.96869477738,0.062458780274028,
,,,-4.96838477676,0.0664628004014958,
,,,-4.96807477614,0.068131142121274,
,,,-4.96776477552,0.0671301370894071,
,,,-4.9674547749,0.0674638054333627,
,,,-4.96714477428,0.0664628004014958,
,,,-4.96683477366,0.0671301370894071,
,,,-4.96652477304,0.0674638054333627,
,,,-4.96621477242,0.0667964687454514,
,,,-4.9659047718,0.0631261169619393,
,,,-4.96559477118,0.0671301370894071,
,,,-4.96528477056,0.0631261169619393,
,,,-4.96497476994,0.0627924486179836,
,,,-4.96466476932,0.0631261169619393,
,,,-4.9643547687,0.0631261169619393,
,,,-4.96404476808,0.0641271219938062,
,,,-4.96373476746,0.0671301370894071,
,,,-4.96342476684,0.0671301370894071,
,,,-4.96311476622,0.0661291320575401,
,,,-4.9628047656,0.0674638054333627,
,,,-4.96249476498,0.0674638054333627,
,,,-4.96218476436,0.0674638054333627,
,,,-4.96187476374,0.0667964687454514,
,,,-4.96156476312,0.0667964687454514,
,,,-4.9612547625,0.0671301370894071,
,,,-4.96094476188,0.0677974737773184,
,,,-4.96063476126,0.0641271219938062,
,,,-4.96032476064,0.0667964687454514,
,,,-4.96001476002,0.0637934536498506,
,,,-4.9597047594,0.0641271219938062,
,,,-4.95939475878,0.0634597853058949,
,,,-4.95908475816,0.0647944586817175,
,,,-4.95877475754,0.0647944586817175,
,,,-4.95846475692,0.0634597853058949,
,,,-4.9581547563,0.0674638054333627,
,,,-4.95784475568,0.0634597853058949,
,,,-4.95753475506,0.0631261169619393,
,,,-4.95722475444,0.0667964687454514,
,,,-4.95691475382,0.0667964687454514,
,,,-4.9566047532,0.0667964687454514,
,,,-4.95629475258,0.0671301370894071,
,,,-4.95598475196,0.0667964687454514,
,,,-4.95567475134,0.0671301370894071,
,,,-4.95536475072,0.0667964687454514,
,,,-4.9550547501,0.0671301370894071,
,,,-4.95474474948,0.0634597853058949,
,,,-4.95443474886,0.0631261169619393,
,,,-4.95412474824,0.0674638054333627,
,,,-4.95381474762,0.0631261169619393,
,,,-4.953504747,0.0667964687454514,
,,,-4.95319474638,0.0637934536498506,
,,,-4.95288474576,0.0634597853058949,
,,,-4.95257474514,0.0634597853058949,
,,,-4.95226474452,0.0631261169619393,
,,,-4.9519547439,0.0674638054333627,
