second,Ampere
-189.92154E-03,+8.72660E-03
-189.88904E-03,+8.62416E-03
-189.85654E-03,+8.00804E-03
-189.82404E-03,+7.64876E-03
-189.79154E-03,+8.05926E-03
-189.75904E-03,+8.67538E-03
-189.72654E-03,+8.31610E-03
-189.69404E-03,+8.00804E-03
-189.66154E-03,+8.36732E-03
-189.62904E-03,+8.67538E-03
-189.59654E-03,+8.67538E-03
-189.56404E-03,+8.67538E-03
-189.53154E-03,+8.31610E-03
-189.49904E-03,+8.36732E-03
-189.46654E-03,+8.67538E-03
-189.43404E-03,+8.31610E-03
-189.40154E-03,+8.00804E-03
-189.36904E-03,+8.36732E-03
-189.33654E-03,+9.03466E-03
-189.30404E-03,+8.98344E-03
-189.27154E-03,+8.31610E-03
-189.23904E-03,+8.36732E-03
-189.20654E-03,+8.31610E-03
-189.17404E-03,+8.36732E-03
-189.14154E-03,+8.31610E-03
-189.10904E-03,+8.36732E-03
-189.07654E-03,+8.67538E-03
-189.04404E-03,+8.31610E-03
-189.01154E-03,+8.36732E-03
-188.97904E-03,+9.03466E-03
-188.94654E-03,+8.98344E-03
-188.91404E-03,+8.31610E-03
-188.88154E-03,+8.36732E-03
-188.84904E-03,+8.31610E-03
-188.81654E-03,+8.00804E-03
-188.78404E-03,+8.00804E-03
-188.75154E-03,+8.00804E-03
-188.71904E-03,+8.00804E-03
-188.68654E-03,+8.00804E-03
-188.65403E-03,+8.00804E-03
-188.62153E-03,+8.36732E-03
-188.58903E-03,+8.31610E-03
-188.55653E-03,+8.36732E-03
-188.52403E-03,+8.31610E-03
-188.49153E-03,+8.00804E-03
-188.45903E-03,+8.36732E-03
-188.42653E-03,+8.31610E-03
-188.39403E-03,+8.00804E-03
-188.36153E-03,+8.36732E-03
-188.32903E-03,+8.31610E-03
-188.29653E-03,+8.36732E-03
-188.26403E-03,+8.31610E-03
-188.23153E-03,+8.00804E-03
-188.19903E-03,+8.36732E-03
-188.16653E-03,+8.67538E-03
-188.13403E-03,+8.31610E-03
-188.10153E-03,+7.64876E-03
-188.06903E-03,+7.69998E-03
-188.03653E-03,+8.36732E-03
-188.00403E-03,+8.67538E-03
-187.97153E-03,+7.95682E-03
-187.93903E-03,+8.05926E-03
-187.90653E-03,+8.67538E-03
-187.87403E-03,+8.31610E-03
-187.84153E-03,+8.36732E-03
-187.80903E-03,+8.67538E-03
-187.77653E-03,+8.31610E-03
-187.74403E-03,+8.36732E-03
-187.71153E-03,+8.67538E-03
-187.67903E-03,+8.67538E-03
-187.64653E-03,+8.31610E-03
-187.61403E-03,+8.00804E-03
-187.58153E-03,+8.00804E-03
-187.54903E-03,+8.36732E-03
-187.51653E-03,+8.67538E-03
-187.48403E-03,+8.67538E-03
-187.45153E-03,+8.31610E-03
-187.41903E-03,+8.00804E-03
-187.38653E-03,+8.36732E-03
-187.35403E-03,+8.31610E-03
-187.32152E-03,+8.00804E-03
-187.28902E-03,+8.00804E-03
-187.25652E-03,+8.00804E-03
-187.22402E-03,+8.36732E-03
